AISC_Manual_Label,W,A,Ix (in^4),Sx
WT18X105,105.00,30.90,985.00,73.10
WT18X97,97.00,28.50,901.00,67.00
WT18X91,91.00,26.80,845.00,63.10
WT18X85,85.00,25.00,786.00,58.90
WT18X80,80.00,23.50,740.00,55.80
WT18X75,75.00,22.10,698.00,53.10
WT18X67.5,67.50,19.90,637.00,49.70
WT16.5X193.5,193.50,57.00,1460.00,107.00
WT16.5X177,177.00,52.10,1320.00,96.80
WT16.5X159,159.00,46.80,1160.00,85.80
WT16.5X145.5,145.50,42.80,1060.00,78.30
WT16.5X131.5,131.50,38.70,943.00,70.20
WT16.5X120.5,120.50,35.60,872.00,65.80
